75 2138
Delegado_Ramagem Delegado_Éder_Mauro 2
Delegado_Ramagem Diego_Garcia 2
Delegado_Ramagem Gerlen_Diniz 2
Delegado_Ramagem Gilson_Marques 3
Delegado_Ramagem Jorge_Goetten 3
Delegado_Ramagem José_Nelto 2
Delegado_Ramagem Lafayette_de_Andrada 1
Delegado_Ramagem Lucas_Redecker 1
Delegado_Ramagem Marangoni 1
Delegado_Ramagem Marcos_Pollon 2
Delegado_Ramagem Mauricio_Marcon 1
Delegado_Ramagem Pastor_Eurico 1
Delegado_Ramagem Pr._Marco_Feliciano 1
Delegado_Ramagem Roberto_Duarte 3
Delegado_Ramagem Robinson_Faria 2
Delegado_Ramagem Rosângela_Moro 3
Delegado_Ramagem Rosângela_Reis 3
Delegado_Ramagem Yandra_Moura 1
Delegado_Ramagem Yury_do_Paredão 1
Delegado_Ramagem Chris_Tonietto 1
Delegado_Ramagem Cobalchini 3
Delegado_Ramagem Coronel_Fernanda 3
Delegado_Ramagem Covatti_Filho 1
Delegado_Ramagem Delegado_Marcelo_Freitas 3
Delegado_Ramagem Deltan_Dallagnol 3
Delegado_Ramagem Felipe_Francischini 1
Delegado_Ramagem João_Leão 1
Delegado_Ramagem Julia_Zanatta 2
Delegado_Ramagem Nicoletti 2
Delegado_Ramagem Zé_Haroldo_Cathedral 2
Delegado_Ramagem Arthur_Oliveira_Maia 2
Delegado_Ramagem Átila_Lira 2
Delegado_Ramagem Capitão_Augusto 2
Delegado_Ramagem Fabio_Garcia 2
Delegado_Ramagem Fausto_Santos_Jr. 2
Delegado_Ramagem Marcelo_Crivella 1
Delegado_Ramagem Carlos_Jordy 1
Delegado_Ramagem Fausto_Pinato 1
Diego_Garcia Alfredo_Gaspar 2
Diego_Garcia Beto_Richa 1
Diego_Garcia Cabo_Gilberto_Silva 2
Diego_Garcia Capitão_Alberto_Neto 2
Diego_Garcia Caroline_de_Toni 1
Diego_Garcia Coronel_Meira 1
Diego_Garcia Delegado_Éder_Mauro 2
Diego_Garcia Delegado_Ramagem 2
Diego_Garcia Gerlen_Diniz 1
Diego_Garcia Gilson_Marques 2
Diego_Garcia Jorge_Goetten 2
Diego_Garcia José_Nelto 1
Diego_Garcia Lafayette_de_Andrada 1
Diego_Garcia Lucas_Redecker 1
Diego_Garcia Marangoni 1
Diego_Garcia Marcos_Pollon 1
Diego_Garcia Mauricio_Marcon 1
Diego_Garcia Pastor_Eurico 1
Diego_Garcia Pr._Marco_Feliciano 1
Diego_Garcia Roberto_Duarte 2
Diego_Garcia Robinson_Faria 1
Diego_Garcia Rosângela_Moro 2
Diego_Garcia Rosângela_Reis 2
Diego_Garcia Yandra_Moura 1
Diego_Garcia Yury_do_Paredão 1
Diego_Garcia Chris_Tonietto 1
Diego_Garcia Cobalchini 1
Diego_Garcia Coronel_Fernanda 1
Diego_Garcia Covatti_Filho 1
Diego_Garcia Delegado_Marcelo_Freitas 1
Diego_Garcia Deltan_Dallagnol 1
Diego_Garcia Felipe_Francischini 1
Diego_Garcia João_Leão 1
Diego_Garcia Julia_Zanatta 1
Diego_Garcia Nicoletti 1
Diego_Garcia Zé_Haroldo_Cathedral 1
Flávio_Nogueira Carlos_Veras 2
Flávio_Nogueira Cobalchini 1
Flávio_Nogueira Delegada_Katarina 2
Flávio_Nogueira Helder_Salomão 2
Flávio_Nogueira José_Guimarães 2
Flávio_Nogueira Laura_Carneiro 2
Flávio_Nogueira Marcos_Tavares 2
Flávio_Nogueira Pedro_Campos 1
Flávio_Nogueira Renilce_Nicodemos 1
Flávio_Nogueira Rui_Falcão 1
Flávio_Nogueira Sâmia_Bomfim 1
Flávio_Nogueira Tarcísio_Motta 2
Flávio_Nogueira Waldemar_Oliveira 2
Flávio_Nogueira Zé_Haroldo_Cathedral 1
Flávio_Nogueira Alencar_Santana 1
Flávio_Nogueira Diego_Coronel 1
Flávio_Nogueira Eduardo_Bismarck 1
Flávio_Nogueira Gervásio_Maia 1
Flávio_Nogueira Lindbergh_Farias 1
Flávio_Nogueira Luiz_Couto 1
Flávio_Nogueira Rubens_Pereira_Júnior 1
Flávio_Nogueira Tabata_Amaral 1
Flávio_Nogueira Yury_do_Paredão 1
Gerlen_Diniz Alfredo_Gaspar 2
Gerlen_Diniz Beto_Richa 1
Gerlen_Diniz Cabo_Gilberto_Silva 1
Gerlen_Diniz Capitão_Alberto_Neto 1
Gerlen_Diniz Caroline_de_Toni 2
Gerlen_Diniz Coronel_Meira 2
Gerlen_Diniz Delegado_Éder_Mauro 1
Gerlen_Diniz Delegado_Ramagem 2
Gerlen_Diniz Diego_Garcia 1
Gerlen_Diniz Gilson_Marques 2
Gerlen_Diniz Jorge_Goetten 2
Gerlen_Diniz José_Nelto 2
Gerlen_Diniz Lafayette_de_Andrada 1
Gerlen_Diniz Lucas_Redecker 1
Gerlen_Diniz Marangoni 1
Gerlen_Diniz Marcos_Pollon 2
Gerlen_Diniz Mauricio_Marcon 1
Gerlen_Diniz Pastor_Eurico 1
Gerlen_Diniz Pr._Marco_Feliciano 1
Gerlen_Diniz Roberto_Duarte 2
Gerlen_Diniz Robinson_Faria 2
Gerlen_Diniz Rosângela_Moro 2
Gerlen_Diniz Rosângela_Reis 2
Gerlen_Diniz Yandra_Moura 1
Gerlen_Diniz Yury_do_Paredão 1
Gerlen_Diniz Arthur_Oliveira_Maia 1
Gerlen_Diniz Átila_Lira 1
Gerlen_Diniz Capitão_Augusto 1
Gerlen_Diniz Cobalchini 1
Gerlen_Diniz Coronel_Fernanda 1
Gerlen_Diniz Delegado_Marcelo_Freitas 1
Gerlen_Diniz Deltan_Dallagnol 1
Gerlen_Diniz Fabio_Garcia 1
Gerlen_Diniz Fausto_Santos_Jr. 1
Gerlen_Diniz Julia_Zanatta 1
Gerlen_Diniz Marcelo_Crivella 1
Gerlen_Diniz Nicoletti 1
Gerlen_Diniz Zé_Haroldo_Cathedral 1
Gilson_Marques Alfredo_Gaspar 3
Gilson_Marques Beto_Richa 1
Gilson_Marques Cabo_Gilberto_Silva 2
Gilson_Marques Capitão_Alberto_Neto 2
Gilson_Marques Caroline_de_Toni 2
Gilson_Marques Coronel_Meira 2
Gilson_Marques Delegado_Éder_Mauro 2
Gilson_Marques Delegado_Ramagem 3
Gilson_Marques Diego_Garcia 2
Gilson_Marques Gerlen_Diniz 2
Gilson_Marques Jorge_Goetten 3
Gilson_Marques José_Nelto 2
Gilson_Marques Lafayette_de_Andrada 1
Gilson_Marques Lucas_Redecker 1
Gilson_Marques Marangoni 1
Gilson_Marques Marcos_Pollon 2
Gilson_Marques Mauricio_Marcon 1
Gilson_Marques Pastor_Eurico 1
Gilson_Marques Pr._Marco_Feliciano 1
Gilson_Marques Roberto_Duarte 3
Gilson_Marques Robinson_Faria 2
Gilson_Marques Rosângela_Moro 3
Gilson_Marques Rosângela_Reis 3
Gilson_Marques Yandra_Moura 1
Gilson_Marques Yury_do_Paredão 1
Gilson_Marques Chris_Tonietto 1
Gilson_Marques Cobalchini 2
Gilson_Marques Coronel_Fernanda 2
Gilson_Marques Covatti_Filho 1
Gilson_Marques Delegado_Marcelo_Freitas 2
Gilson_Marques Deltan_Dallagnol 2
Gilson_Marques Felipe_Francischini 1
Gilson_Marques João_Leão 1
Gilson_Marques Julia_Zanatta 2
Gilson_Marques Nicoletti 2
Gilson_Marques Zé_Haroldo_Cathedral 2
Gilson_Marques Arthur_Oliveira_Maia 1
Gilson_Marques Átila_Lira 1
Gilson_Marques Capitão_Augusto 1
Gilson_Marques Fabio_Garcia 1
Gilson_Marques Fausto_Santos_Jr. 1
Gilson_Marques Marcelo_Crivella 1
Helder_Salomão Carlos_Veras 3
Helder_Salomão Cobalchini 1
Helder_Salomão Delegada_Katarina 3
Helder_Salomão Flávio_Nogueira 2
Helder_Salomão José_Guimarães 3
Helder_Salomão Laura_Carneiro 2
Helder_Salomão Marcos_Tavares 2
Helder_Salomão Pedro_Campos 1
Helder_Salomão Renilce_Nicodemos 1
Helder_Salomão Rui_Falcão 2
Helder_Salomão Sâmia_Bomfim 2
Helder_Salomão Tarcísio_Motta 3
Helder_Salomão Waldemar_Oliveira 2
Helder_Salomão Zé_Haroldo_Cathedral 1
Helder_Salomão Afonso_Motta 1
Helder_Salomão Alencar_Santana 2
Helder_Salomão André_Janones 1
Helder_Salomão Bacelar 1
Helder_Salomão Diego_Coronel 2
Helder_Salomão Eduardo_Bismarck 2
Helder_Salomão Gervásio_Maia 2
Helder_Salomão Juarez_Costa 1
Helder_Salomão Maria_Arraes 1
Helder_Salomão Murilo_Galdino 1
Helder_Salomão Rubens_Pereira_Júnior 2
Helder_Salomão Silvio_Costa_Filho 1
Helder_Salomão Tabata_Amaral 2
Helder_Salomão Yury_do_Paredão 2
Helder_Salomão Lindbergh_Farias 1
Helder_Salomão Luiz_Couto 1
Jorge_Goetten Alfredo_Gaspar 3
Jorge_Goetten Beto_Richa 1
Jorge_Goetten Cabo_Gilberto_Silva 2
Jorge_Goetten Capitão_Alberto_Neto 2
Jorge_Goetten Caroline_de_Toni 2
Jorge_Goetten Coronel_Meira 2
Jorge_Goetten Delegado_Éder_Mauro 2
Jorge_Goetten Delegado_Ramagem 3
Jorge_Goetten Diego_Garcia 2
Jorge_Goetten Gerlen_Diniz 2
Jorge_Goetten Gilson_Marques 3
Jorge_Goetten José_Nelto 2
Jorge_Goetten Lafayette_de_Andrada 1
Jorge_Goetten Lucas_Redecker 1
Jorge_Goetten Marangoni 1
Jorge_Goetten Marcos_Pollon 2
Jorge_Goetten Mauricio_Marcon 1
Jorge_Goetten Pastor_Eurico 1
Jorge_Goetten Pr._Marco_Feliciano 1
Jorge_Goetten Roberto_Duarte 3
Jorge_Goetten Robinson_Faria 2
Jorge_Goetten Rosângela_Moro 3
Jorge_Goetten Rosângela_Reis 3
Jorge_Goetten Yandra_Moura 1
Jorge_Goetten Yury_do_Paredão 1
Jorge_Goetten Chris_Tonietto 1
Jorge_Goetten Cobalchini 2
Jorge_Goetten Coronel_Fernanda 2
Jorge_Goetten Covatti_Filho 1
Jorge_Goetten Delegado_Marcelo_Freitas 2
Jorge_Goetten Deltan_Dallagnol 2
Jorge_Goetten Felipe_Francischini 1
Jorge_Goetten João_Leão 1
Jorge_Goetten Julia_Zanatta 2
Jorge_Goetten Nicoletti 2
Jorge_Goetten Zé_Haroldo_Cathedral 2
Jorge_Goetten Arthur_Oliveira_Maia 1
Jorge_Goetten Átila_Lira 1
Jorge_Goetten Capitão_Augusto 1
Jorge_Goetten Fabio_Garcia 1
Jorge_Goetten Fausto_Santos_Jr. 1
Jorge_Goetten Marcelo_Crivella 1
José_Guimarães Carlos_Veras 3
José_Guimarães Cobalchini 1
José_Guimarães Delegada_Katarina 3
José_Guimarães Flávio_Nogueira 2
José_Guimarães Helder_Salomão 3
José_Guimarães Laura_Carneiro 2
José_Guimarães Marcos_Tavares 2
